id,project_id,license
1,1,Controlled Access
2,2,Standard Access
3,3,Controlled Access
4,4,Standard Access
5,5,Standard Access
6,6,Standard Access
7,7,Standard Access
8,8,Standard Access
9,9,Standard Access
10,10,Standard Access
11,11,Standard Access
12,12,Standard Access
13,13,Controlled Access
14,14,Standard Access
15,15,Controlled Access
16,16,Standard Access
17,17,Controlled Access
18,18,Standard Access
19,19,Standard Access
20,20,Standard Access
21,21,Standard Access
22,22,Controlled Access
23,23,Standard Access
24,24,CC BY 4.0
25,25,Standard Access
26,26,Controlled Access
27,27,Standard Access
28,28,Standard Access
29,29,Standard Access
30,30,Standard Access
31,31,Standard Access
32,32,Standard Access
33,33,Standard Access
34,34,Standard Access
35,35,Controlled Access
36,36,Standard Access
37,37,Standard Access
38,38,Standard Access
39,39,Standard Access
40,40,Controlled Access
41,41,Standard Access
42,42,Standard Access
43,43,Standard Access
44,44,Standard Access
45,45,Standard Access
46,46,Standard Access
47,47,Standard Access
48,48,Standard Access
49,49,Standard Access
50,50,Standard Access
51,51,Standard Access
52,52,Standard Access
53,53,Standard Access
54,54,Standard Access
55,55,Controlled Access
56,56,Standard Access
57,57,Standard Access
58,58,Standard Access
59,59,Controlled Access
60,60,Standard Access
61,61,Standard Access
62,62,Controlled Access
63,63,Standard Access
64,64,Standard Access
65,65,CC0 1.0
66,66,Standard Access
67,67,Controlled Access
68,68,Controlled Access
69,69,Standard Access
70,70,Standard Access
71,71,Standard Access
72,72,Standard Access
73,73,Standard Access
74,74,Standard Access
75,75,Standard Access
76,76,Standard Access
77,77,Controlled Access
78,78,Standard Access
79,79,Standard Access
80,80,Controlled Access
81,81,Standard Access
82,82,Standard Access
83,83,Controlled Access
84,84,Controlled Access
85,85,Standard Access
86,86,Standard Access
87,87,Controlled Access
88,88,Standard Access
89,89,Standard Access
90,90,Standard Access
91,91,Standard Access
92,92,Controlled Access
93,93,Standard Access
94,94,Standard Access
95,95,Standard Access
96,96,Standard Access
97,97,Standard Access
98,98,Standard Access
99,99,Standard Access
100,100,Standard Access
101,101,Standard Access
102,102,Standard Access
103,103,Standard Access
104,104,Standard Access
105,105,Controlled Access
106,106,Controlled Access
107,107,Standard Access
108,108,Controlled Access
109,109,Standard Access
110,110,Standard Access
111,111,Controlled Access
112,112,Standard Access
113,113,Standard Access
114,114,Controlled Access
115,115,Standard Access
116,116,Standard Access
117,117,Standard Access
118,118,Controlled Access
119,119,Standard Access
120,120,Standard Access
121,121,Standard Access
122,122,Standard Access
123,123,Controlled Access
124,124,Standard Access
125,125,Controlled Access
126,126,Standard Access
127,127,Standard Access
128,128,Standard Access
129,129,Standard Access
130,130,Standard Access
131,131,Standard Access
132,132,Standard Access
133,133,Controlled Access
134,134,Standard Access
135,135,Standard Access
136,136,Controlled Access
137,137,CC BY 4.0
138,138,Standard Access
139,139,Standard Access
140,140,Standard Access
141,141,Controlled Access
142,142,Standard Access
143,143,Standard Access
144,144,Standard Access
145,145,Standard Access
146,146,Standard Access
147,147,Standard Access
148,148,CC BY 4.0
149,149,Standard Access
150,150,Controlled Access
151,151,Standard Access
152,152,Standard Access
153,153,Standard Access
154,154,Standard Access
155,155,Standard Access
156,156,Standard Access
157,157,Standard Access
158,158,CC BY 4.0
159,159,Standard Access
160,160,Standard Access
161,161,Standard Access
162,162,Standard Access
163,163,CC BY 4.0
164,164,Standard Access
165,165,Standard Access
166,166,Standard Access
167,167,Standard Access
168,168,Standard Access
169,169,Standard Access
170,170,Standard Access
171,171,Standard Access
172,172,Standard Access
173,173,Standard Access
174,174,Standard Access
175,175,Standard Access
176,176,Standard Access
177,177,Standard Access
178,178,Standard Access
179,179,Standard Access
180,180,Standard Access
181,181,Controlled Access
182,182,Standard Access
183,183,Controlled Access
184,184,CC BY 4.0
185,185,Controlled Access
186,186,CC BY 4.0
187,187,Standard Access
188,188,Standard Access
189,189,Standard Access
190,190,Standard Access
191,191,Standard Access
192,192,Standard Access
193,193,Standard Access
194,194,Standard Access
195,195,Standard Access
196,196,Standard Access
197,197,Standard Access
198,198,Standard Access
199,199,Standard Access
200,200,Standard Access
201,201,Standard Access
202,202,Standard Access
203,203,Standard Access
204,204,Standard Access
