id,project_id,file_name,file_type,status
63,1,Ibitoye-etal_IDI-AK-U-F-3.pdf,pdf,FAILED_LOGIN_REQUIRED
64,1,Ibitoye-etal_IDI-AK-U-F-4.pdf,pdf,FAILED_LOGIN_REQUIRED
65,1,Ibitoye-etal_IDI-AK-U-F-5.pdf,pdf,FAILED_LOGIN_REQUIRED
66,1,Ibitoye-etal_IDI-AK-U-F-6.pdf,pdf,FAILED_LOGIN_REQUIRED
67,1,Ibitoye-etal_IDI-AK-U-F-7.pdf,pdf,FAILED_LOGIN_REQUIRED
68,1,Ibitoye-etal_IDI-AK-U-M-1.pdf,pdf,FAILED_LOGIN_REQUIRED
69,1,Ibitoye-etal_IDI-AK-U-M-2.pdf,pdf,FAILED_LOGIN_REQUIRED
70,1,Ibitoye-etal_IDI-AK-U-M-3.pdf,pdf,FAILED_LOGIN_REQUIRED
71,1,Ibitoye-etal_IDI-AK-U-M-4.pdf,pdf,FAILED_LOGIN_REQUIRED
72,1,Ibitoye-etal_IDI-AK-U-M-5.pdf,pdf,FAILED_LOGIN_REQUIRED
73,1,Ibitoye-etal_IDI-AK-U-M-6.pdf,pdf,FAILED_LOGIN_REQUIRED
74,1,Ibitoye-etal_IDI-AN-R-F-1.pdf,pdf,FAILED_LOGIN_REQUIRED
75,1,Ibitoye-etal_IDI-AN-R-F-2.pdf,pdf,FAILED_LOGIN_REQUIRED
76,1,Ibitoye-etal_IDI-AN-R-F-3.pdf,pdf,FAILED_LOGIN_REQUIRED
77,1,Ibitoye-etal_IDI-AN-R-F-4.pdf,pdf,FAILED_LOGIN_REQUIRED
78,1,Ibitoye-etal_IDI-AN-R-F-5.pdf,pdf,FAILED_LOGIN_REQUIRED
79,1,Ibitoye-etal_IDI-AN-R-F-6.pdf,pdf,FAILED_LOGIN_REQUIRED
80,1,Ibitoye-etal_IDI-AN-R-F-7.pdf,pdf,FAILED_LOGIN_REQUIRED
81,1,Ibitoye-etal_IDI-AN-R-F-8.pdf,pdf,FAILED_LOGIN_REQUIRED
82,1,Ibitoye-etal_IDI-AN-R-M-1.pdf,pdf,FAILED_LOGIN_REQUIRED
